a blacksmith shop	ᎦᏅᏆᎶᏍᎩᎢ	[ganv:gwa:lò:sgi̋:ʔi]  (single noun) /ced/
stirring it	ᎠᏑᏰᎭ	[à:sú:yeha]  (he is) (3rd/present continuous) /ced/
stirring it	ᎦᏑᏰᎭ	[gà:sú:yeha]  (he is) (1st/present continuous) /ced/
stirring it	ᎤᏑᏰᎲᎢ	[ù:sú:ye:hv̌:ʔi]  (he is) (3rd/remote past) /ced/
stirring it	ᎠᏑᏰᏍᎪᎢ	[à:sú:ye:sgó:ʔi]  (he is) (3rd/habitual) /ced/
stirring it	ᎭᏑᏴᎳ	[hasu:yv̌:la]  (he is) (2nd/immediate) /ced/
stirring it	ᎤᏑᏰᏗ	[u:su:yéhdi]  (he is) (3rd/deverbal) /ced/
stolen	ᎦᏃᏍᎩᏓ	[gano:sgi̋:da] (adj/adv) /ced/
stolen	ᏗᎦᏃᏍᎩᏓ	[digano:sgi̋:da]  (plural adj/adv) /ced/
stomach	ᎤᏍᏉᏟᎢ	[u:sgwo:hli̋:ʔi]  (his) (single noun) /ced/
stompgrounds	ᎦᏘᏲᎢ	[gǎ:tí:yő:ʔi]  (single noun) /ced/
stopping	ᎠᎴᏫᏍᏗᎭ	[à:le:hwisdíha]  (he or it is) (3rd/present continuous) /ced/
stopping	ᎦᎴᏫᏍᏗᎭ	[galè:wisdíha]  (he or it is) (1st/present continuous) /ced/
stopping	ᎤᎴᏫᏍᏔᏅᎢ	[ù:le:hwistanv́:ʔi]  (he or it is) (3rd/remote past) /ced/
stopping	ᎠᎴᏫᏍᏗᏍᎪᎢ	[à:le:hwisdǐ:sgóʔi]  (he or it is) (3rd/habitual) /ced/
stopping	ᎭᎴᏫᏍᏓ	[hale:hwisda]  (he or it is) (2nd/immediate) /ced/
stopping	ᎤᎴᏫᏍᏙᏗ	[u:le:hwisdóhdi]  (he or it is) (3rd/deverbal) /ced/
stopping by	ᎦᎶᎯᏍᏗᎭ	[galo:hisdíha]  (he is) (on his way somewhere) (3rd/present continuous) /ced/
stopping by	ᏥᎶᎢᏍᏗᎭ	[jiloʔisdíha]  (he is) (on his way somewhere) (1st/present continuous) /ced/
stopping by	ᎤᎶᎯᏍᏔᏅᎢ	[ù:lo:histánv́:ʔi]  (he is) (on his way somewhere) (3rd/remote past) /ced/
stopping by	ᎦᎶᎯᏍᏗᏍᎪᎢ	[galo:hisdǐ:sgó:ʔi]  (he is) (on his way somewhere) (3rd/habitual) /ced/
stopping by	ᎯᎶᎯᏍᏓ	[hilo:hisda]  (he is) (on his way somewhere) (2nd/immediate) /ced/
stopping by	ᎤᎶᎯᏍᏙᏗ	[u:lo:hisdóhdi]  (he is) (on his way somewhere) (3rd/deverbal) /ced/
stopping him or it	ᏥᏯᎴᏫᏍᏙᏗᎭ	[ji:yalè:wisdóhdíha] (an.)  (he is) (1st/present continuous) /ced/
stopping him or it	ᎦᎴᏫᏍᏙᏗᎭ	[galè:wisdóhdíha] (in.)  (he is) (1st/present continuous) /ced/
stopping him or it	ᎯᏯᎴᏫᏍᏙᏓ	[hi:yalè:wisdohda] (in.)  (he is) (2nd/immediate) /ced/
stopping him or it	ᎭᎴᏫᏍᏙᏓ	[hale:hwisdohda] (an.)  (he is) (2nd/immediate) /ced/
stopping him or it	ᎠᎴᏫᏍᏙᏗᎭ	[à:le:hwisdóhdíha]  (he is) (3rd/present continuous) /ced/
stopping him or it	ᎤᎴᏫᏍᏙᏔᏅᎢ	[ù:le:hwisdóhtánv̌:ʔi]  (he is) (3rd/remote past) /ced/
stopping him or it	ᎠᎴᏫᏍᏙᏗᏍᎪᎢ	[à:le:hwisdóhdí:sgó:ʔi]  (he is) (3rd/habitual) /ced/
stopping him or it	ᎤᎴᏫᏍᏙᏙᏗ	[u:le:hwisdóhdóhdi]  (he is) (3rd/deverbal) /ced/
store	ᎠᏓᎾᏅᎢ	[à:da:náʔnv̋:ʔi]  (single noun) /ced/
store	ᏓᏓᎾᏅᎢ	[dà:da:náʔnv̋:i]  (plural noun) /ced/
store owner	ᎤᏓᎾᏂ	[u:dǎ:naʔni]  (single noun) /ced/
store owner	ᎤᎾᏓᎾᏂ	[u:nadǎ:naʔni]  (plural noun) /ced/
storm	ᎤᏃᎴ	[u:no:le]  (single noun) /ced/
stove	ᎣᏏ	[ó:si]  (single noun) /ced/
stove pipe	ᎠᎱᏣᏬᎳᏛᏗ	[ahù:jawǒ:ládv̋:di]  (single noun) /ced/
stove pipe	ᏗᎱᏣᏬᎳᏛᏗ	[di:hù:jawǒ:ládv̋:di]  (plural noun) /ced/
straight	ᎦᏥᏃᏍᏓ	[ga:chinő:sda] (adj/adv) /ced/
straight	ᏗᎦᏥᏃᏍᏓ	[diga:chinő:sda]  (plural adj/adv) /ced/
straight	ᏥᏳᎪᏗ	[ji:yű:kdi] (adj/adv)  (directional) /ced/
straightening it	ᎦᏥᏃᏏᎭ	[ga:chino:síha]  (he is) (3rd/present continuous) /ced/
straightening it	ᏥᏥᏃᏏᎭ	[jì:chino:síha]  (he is) (1st/present continuous) /ced/
straightening it	ᎤᏩᏥᏃᏌᏅᎢ	[ù:wa:chino:sahnv̌:ʔi]  (he is) (3rd/remote past) /ced/
straightening it	ᎦᏥᏃᏏᏍᎪᎢ	[ga:chino:sǐsgóʔi]  (he is) (3rd/habitual) /ced/
straightening it	ᎯᏥᏃᏌ	[hi:chinǒ:sa]  (he is) (2nd/immediate) /ced/
straightening it	ᎤᏩᏥᏃᏐᏗ	[uwa:chino:sohdi]  (he is) (3rd/deverbal) /ced/
straining it	ᎧᏅᏐᎸᏍᏗᎭ	[kanv́:so:lv̌:sdíha]  (he is) (3rd/present continuous) /ced/
straining it	ᏥᏅᏐᎸᏍᏗᎭ	[jì:nv́:so:lv̌:sdíha]  (he is) (1st/present continuous) /ced/
straining it	ᎤᏅᏐᎸᏍᏔᏅᎢ	[ù:hnv́:so:lv̌:stánv̌:ʔi]  (he is) (3rd/remote past) /ced/
straining it	ᎧᏅᏐᎸᏍᏗᏍᎪᎢ	[kanv́:so:lv̌:sdí:sgó:ʔi]  (he is) (3rd/habitual) /ced/
straining it	ᎯᏅᏐᎸᏍᏓ	[hihnv̀:so:lv̌:sda]  (he is) (2nd/immediate) /ced/
straining it	ᎤᏅᏐᎸᏍᏙᏗ	[u:hnv̀:sǒ:lv́:sdohdi]  (he is) (3rd/deverbal) /ced/
strapping it	ᎦᏠᎯᎭ	[gá:dlo:híha]  (he is) (3rd/present continuous) /ced/
strapping it	ᏥᏠᎯᎭ	[jí:dlo:híha]  (he is) (1st/present continuous) /ced/
strapping it	ᎤᏩᏠᏢᎢ	[ù:wá:dlo:hlv̌:ʔi]  (he is) (3rd/remote past) /ced/
strapping it	ᎦᏠᎯᎰᎢ	[gá:dlo:hihó:ʔi]  (he is) (3rd/habitual) /ced/
strapping it	ᎯᏠᎦ	[hì:dlǒ:ga]  (he is) (2nd/immediate) /ced/
strapping it	ᎤᏩᏠᏍᏗ	[uwà:dlǒ:sdi]  (he is) (3rd/deverbal) /ced/
strawberry	ᎠᏂ	[áʔni]  (single noun) /ced/
stream	ᎤᏪᏴᎢ	[ù:wé:yv̋:ʔi]  (single noun) /ced/
stream	ᏚᏪᏴᎢ	[dù:wé:yv̋:ʔi]  (plural noun) /ced/
street	ᎦᎳᏅᏛᎢ	[galanv:dv̋:ʔi]  (single noun) /ced/
street	ᏕᎦᎳᏅᏛᎢ	[de:gálanv:dv̋:ʔi]  (plural noun) /ced/
stretching	ᎠᏓᏯᏍᏗᎭ	[à:da:hyâ:sdiha]  (he is) (3rd/present continuous) /ced/
stretching	ᎦᏓᏯᏍᏗᎭ	[gadà:yâ:sdiha]  (he is) (1st/present continuous) /ced/
stretching	ᎤᏓᏯᏍᏔᏅᎢ	[ù:da:hyâ:stanv̌:ʔi]  (he is) (3rd/remote past) /ced/
stretching	ᎠᏓᏯᏍᏗᏍᎪᎢ	[à:da:hyâ:sdi:sgó:ʔi]  (he is) (3rd/habitual) /ced/
stretching	ᎭᏓᏯᏍᏓ	[hada:hyà:sda]  (he is) (2nd/immediate) /ced/
stretching	ᎤᏓᏯᏍᏙᏗ	[u:da:hyà:sdóhdi]  (he is) (3rd/deverbal) /ced/
striking him or it	ᏥᏴᏂᎭ	[ji:yv̀:níha] (an.)  (he is) (1st/present continuous) /ced/
striking him or it	ᎬᏂᎭ	[gv̀:níha] (in.)  (he is) (1st/present continuous) /ced/
striking him or it	ᎯᏴᏂᎦ	[hi:yv:nì:ga] (in.)  (he is) (2nd/immediate) /ced/
striking him or it	ᎲᏂᎦ	[hvhnga] (an.)  (he is) (2nd/immediate) /ced/
striking him or it	ᎬᏂᎭ	[gv:hníha]  (he is) (3rd/present continuous) /ced/
striking him or it	ᎤᏩᏂᎸᎢ	[ù:wa:hnílv́:ʔi]  (he is) (3rd/remote past) /ced/
striking him or it	ᎬᏂᎰᎢ	[gv:hníhó:ʔi]  (he is) (3rd/habitual) /ced/
striking him or it	ᎤᏩᏂᏍᏗ	[uwansdi]  (he is) (3rd/deverbal) /ced/
string	ᎠᏍᏘ	[asti]  (single noun) /ced/
striped	ᏧᎶᎸᏗ	[ju:lőhldi] (adj/adv) /ced/
striped	ᏧᏂᎶᎸᏗ	[ju:ni:lőhldi]  (plural adj/adv) /ced/
strong	ᎤᏟᏂᎩᏓ	[u:hlinǐ:gida] (adj/adv) /ced/
strong	ᏧᎾᏟᏂᎩᏓ	[ju:nahlinǐ:gida]  (plural adj/adv) /ced/
strong	ᎤᏴᏍᏗ	[úhyvsdi] (adj/adv)  (taste) /ced/
strong	ᎤᏂᏴᏍᏗ	[u:níhyvsdi]  (taste) (plural adj/adv) /ced/
stubbing his toe	ᎤᎿᏍᏆᎶᎠ	[ù:hnâ:sgwaló:ʔa]  (3rd/present continuous) /ced/
stubbing his toe	ᎠᎩᎾᏍᏆᎶᎠ	[à:kinâ:sgwaló:ʔa]  (1st/present continuous) /ced/
stubbing his toe	ᎤᎿᏍᏆᎶᎥᎢ	[ù:hnâ:sgwaló:ʔv̌:ʔi]  (3rd/remote past) /ced/
stubbing his toe	ᎤᎿᏍᏆᎶᏍᎪᎢ	[ù:hnâ:sgwaló:sgó:ʔi]  (3rd/habitual) /ced/
stubbing his toe	ᏣᎾᏍᏆᎶᏣ	[chanà:sgwalǒ:ja]  (2nd/immediate) /ced/
stubbing his toe	ᎤᎿᏍᏆᎶᏍᏗ	[u:hnà:sgwalò:sdi]  (3rd/deverbal) /ced/
student	ᏗᏕᏠᏆᏍᎩ	[di:dě:hlo:gwà:sgi]  (single noun) /ced/
student	ᏗᎾᏕᏠᏆᏍᎩ	[di:nadě:hlo:gwà:sgi]  (plural noun) /ced/
stump	ᎤᏂᏡᎬᎢ	[ù:hnihlgv̋:ʔi]  (single noun) /ced/
stump	ᏚᏂᏡᎬᎢ	[dù:hnihlgv̋:ʔi]  (plural noun) /ced/
substitute	ᎠᏓᏁᏟᏴᏍᏗᏍᎩ	[adaně:dlí:yv̀:sdi̋:sgi]  (single noun) /ced/
substitute	ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ	[anadaně:dlí:yv̀:sdi̋:sgi]  (plural noun) /ced/
sucking it	ᎠᏍᏆᏄᏥᎦ	[à:sgwanû:tsga]  (he is) (3rd/present continuous) /ced/
sucking it	ᏥᏍᏆᏄᏥᎦ	[jì:sgwanû:tsga]  (he is) (1st/present continuous) /ced/
sucking it	ᎤᏍᏆᏄᏨᎢ	[ù:sgwanû:tsv̌:ʔi]  (he is) (3rd/remote past) /ced/
sucking it	ᎠᏍᏆᏄᏥᎪᎢ	[à:sgwanû:tsgó:ʔi]  (he is) (3rd/habitual) /ced/
sucking it	ᎯᏍᏆᏄᏣ	[hisgwanù:tsa]  (he is) (2nd/immediate) /ced/
sucking it	ᎤᏍᏆᏄᏥᏗ	[u:sgwanù:tsdi]  (he is) (3rd/deverbal) /ced/
suddenly	ᎤᏰᎶᎢᏍᏗ	[u:ye:lóʔisdi] (adj/adv) /ced/
suffocating	ᎠᎩᎭᏬᏍᏗᎭ	[à:gihawó:sdiha] (an.)  (he is) (1st/present continuous) /ced/
suffocating	ᎠᎧᏬᏍᏗᎭ	[à:kawó:sdiha] (in.)  (he is) (1st/present continuous) /ced/
suffocating	ᎤᎭᏬᏍᏗᎭ	[ù:hawó:sdiha]  (he is) (3rd/present continuous) /ced/
suffocating	ᎤᎭᏬᏍᏔᏅᎢ	[ù:hawó:stanv̌:ʔi]  (he is) (3rd/remote past) /ced/
suffocating	ᎤᎭᏬᏍᏗᏍᎪᎢ	[ù:hawó:sdi:sgó:ʔi]  (he is) (3rd/habitual) /ced/
suffocating	ᏣᎭᏬᏍᏓ	[jahawò:sda]  (he is) (2nd/immediate) /ced/
suffocating	ᎤᎭᏬᏍᏙᏗ	[u:hawò:sdóhdi]  (he is) (3rd/deverbal) /ced/
sugar	ᎧᎵᏎᏥ	[kalsě:ji]  (single noun) /ced/
summer	ᎪᎩ	[go:gi]  (single noun) /ced/
sun	ᏅᏓ	[nv:da]  (single noun) /ced/
sun	ᏅᏙᎯ	[nv:dő:hi] (adj/adv) /ced/
Sunday	ᎤᎾᏙᏓᏆᏍᎬᎢ	[Ù:nadǒ:dágwà:sgv̋:ʔi]  (single noun) /ced/
Sunday	ᎤᏙᏓᏆᏍᎬᎢ	[Ù:dǒ:dágwà:sgv̋:ʔi]  (single noun) /ced/
Sunday	ᏙᏓᏆᏍᎬᎢ	[Dǒ:dágwà:sgv̋:ʔi]  (single noun) /ced/
supplies	ᎠᏓᏁᏢᎢ	[à:da:ne:hlv̋:ʔi]  (single noun) /ced/
supplies	ᏓᏓᏁᎸᎢ	[dà:da:ně:hlv̋:i]  (plural noun) /ced/
surgeon	ᏗᏓᏰᏠᎯ	[di:da:hyě:hlohi]  (single noun) /ced/
surgeon	ᏗᎾᏓᏰᏠᎯ	[di:nada:hyě:hlohi]  (plural noun) /ced/
swallowing it	ᎠᎩᏍᎦ	[à:kisga]  (he is) (3rd/present continuous) /ced/
swallowing it	ᏥᎩᏍᎦ	[jiʔgisga]  (he is) (1st/present continuous) /ced/
swallowing it	ᎤᎩᏒᎢ	[ù:kisv̌:ʔi]  (he is) (3rd/remote past) /ced/
swallowing it	ᎠᎩᏍᎪᎢ	[à:kisgó:ʔi]  (he is) (3rd/habitual) /ced/
swallowing it	ᎯᎩᎯ	[hikihi]  (he is) (2nd/immediate) /ced/
swallowing it	ᎤᎩᎯᏍᏗ	[u:kihisdi]  (he is) (3rd/deverbal) /ced/
sweat	ᎠᎵ	[a:li]  (single noun) /ced/
sweeping it	ᎬᏃᏌᏍᎦ	[gv:no:sá:sga]  (he is) (3rd/present continuous) /ced/
sweeping it	ᎬᏃᏌᏍᎦ	[gv:nò:sasga]  (he is) (1st/present continuous) /ced/
sweeping it	ᎤᏩᏃᏌᎲᎢ	[ù:wa:no:sahv̌:ʔi]  (he is) (3rd/remote past) /ced/
sweeping it	ᎬᏃᏌᏍᎪᎢ	[gv:no:sasgó:ʔi]  (he is) (3rd/habitual) /ced/
sweeping it	ᎲᏃᏌ	[hv:nǒ:sa]  (he is) (2nd/immediate) /ced/
sweeping it	ᎤᏩᏃᏌᏍᏗ	[uwa:no:sasdi]  (he is) (3rd/deverbal) /ced/
sweet	ᎤᎦᎾᏍᏓ	[u:gana̋:sda] (adj/adv) /ced/
sweet	ᎤᏂᎦᎾᏍᏓ	[u:ni:gana̋:sda]  (plural adj/adv) /ced/
swelling	ᎪᏘᏍᎦ	[go:tisga]  (it is) (3rd/present continuous) /ced/
swelling	ᎪᏘᏍᎦ	[gò:tisga]  (it is) (1st/present continuous) /ced/
swelling	ᎤᏬᏘᏒᎢ	[ù:wo:tisv̌:ʔi]  (it is) (3rd/remote past) /ced/
swelling	ᎪᏘᏍᎪᎢ	[go:tisgó:ʔi]  (it is) (3rd/habitual) /ced/
swelling	ᎰᏘᎯ	[ho:tihi]  (it is) (2nd/immediate) /ced/
swelling	ᎤᏬᏘᎯᏍᏗ	[uwo:tihisdi]  (it is) (3rd/deverbal) /ced/
swimming	ᎠᏓᏬᎠ	[à:dawó:ʔa]  (he is) (3rd/present continuous) /ced/
swimming	ᎦᏓᏬᎠ	[gadawó:ʔa]  (he is) (1st/present continuous) /ced/
swimming	ᎤᏓᏬᎥᎢ	[ù:dawó:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
swimming	ᎠᏓᏬᏍᎪᎢ	[à:dawó:sgó:ʔi]  (he is) (3rd/habitual) /ced/
swimming	ᎭᏓᏬᏣ	[hadawǒ:ja]  (he is) (2nd/immediate) /ced/
swimming	ᎤᏓᏬᏍᏗ	[u:dawò:sdi]  (he is) (3rd/deverbal) /ced/
swimming	ᎠᏳᎢᏁᎦ	[à:hyúʔi:né:ga]  (he is) (propelling himself through water) (3rd/present continuous) /ced/
swimming	ᎦᏳᎢᏁᎦ	[gà:yúʔi:né:ga]  (he is) (propelling himself through water) (1st/present continuous) /ced/
swimming	ᎤᏳᎢᏅᏒᎢ	[ù:hyúʔi:nv́:sv̌:ʔi]  (he is) (propelling himself through water) (3rd/remote past) /ced/
swimming	ᎠᏳᎢᏁᎪᎢ	[à:hyúʔi:né:gó:ʔi]  (he is) (propelling himself through water) (3rd/habitual) /ced/
swimming	ᎭᏳᎢᏄᎦ	[ha:hyuʔi:nù:ga]  (he is) (propelling himself through water) (2nd/immediate) /ced/
swimming	ᎤᏳᎢᏅᏍᏗ	[u:hyuʔǐ:nv̂:sdi]  (he is) (propelling himself through water) (3rd/deverbal) /ced/
swimming pool	ᎠᏓᏬᏍᏗᎢ	[adawò:sdi̋:ʔi]  (single noun) /ced/
swimming pool	ᏗᏓᏬᏍᏗᎢ	[di:dawò:sdi̋:ʔi]  (plural noun) /ced/
swollen	ᎤᏬᏘᏓ	[uwǒ:tida] (adj/adv) /ced/
swollen	ᏧᏬᏘᏓ	[juwǒ:tida]  (plural adj/adv) /ced/
sycamore	ᎫᏩᏧᏁᎦ	[kuwájú:ne:ga]  (single noun) /ced/
syrup	ᏩᏚᎵᏏ	[wá:du:lí:si]  (single noun) /ced/
table	ᎦᏍᎩᎶ	[ga:sgilo]  (single noun) /ced/
table	ᏗᎦᏍᎩᎶ	[diga:sgilo]  (plural noun) /ced/
table	ᎦᏍᎩᎸᎢ	[ga:sgilv̋:ʔi] (adj/adv) /ced/
Tahlequah	ᏓᎵᏆ	[Dalígwa]  (single noun) /ced/
tail	ᎦᏂᏓᏛᎢ	[ganí:daʔdv̋:i]  (his) (single noun) /ced/
tail	ᎦᏙᎦ	[gà:tohga]  (single noun) /ced/
tail	ᏗᎦᏙᎦ	[digà:tohga]  (plural noun) /ced/
taking a bite	ᎠᏥᏍᏕᎠ	[à:tsdé:ʔa]  (he is) (3rd/present continuous) /ced/
taking a bite	ᎦᏥᏍᏕᎠ	[gajì:sdé:ʔa]  (he is) (1st/present continuous) /ced/
taking a bite	ᎤᏥᏍᏕᏒᎢ	[ù:tsdé:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
taking a bite	ᎠᏥᏍᏕᏍᎪᎢ	[à:tsdé:sgó:ʔi]  (he is) (3rd/habitual) /ced/
taking a bite	ᎭᏥᏍᏓᎩ	[hatsdagi]  (he is) (2nd/immediate) /ced/
taking a bite	ᎤᏥᏕᏍᎢ	[u:tsdè:sdi]  (he is) (3rd/deverbal) /ced/
taking a break	ᎠᏲᎯᏍᏗᎭ	[à:yóhisdíha]  (he is) (3rd/present continuous) /ced/
taking a break	ᏥᏲᎯᏍᏗᎭ	[jíʔyohisdíha]  (he is) (1st/present continuous) /ced/
taking a break	ᎤᏲᎯᏍᏔᏅᎢ	[ù:yóhistánv́:ʔi]  (he is) (3rd/remote past) /ced/
taking a break	ᎠᏲᎯᏍᏗᏍᎪᎢ	[à:yóhisdǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
taking a break	ᎯᏲᎯᏍᏓ	[hiyohisda]  (he is) (2nd/immediate) /ced/
taking a break	ᎤᏲᎯᏍᏙᏗ	[u:yohísdohdi]  (he is) (3rd/deverbal) /ced/
taking a drink	ᎠᏚᎩᎠ	[àtǔ:gía]  (he is) (alcoholic beverage) (3rd/present continuous) /ced/
taking a drink	ᎦᏚᎩᎠ	[gaʔdǔ:gíʔa]  (he is) (alcoholic beverage) (1st/present continuous) /ced/
taking a drink	ᎤᏚᎩᏒᎢ	[ù:tǔ:gî:sv̌:ʔi]  (he is) (alcoholic beverage) (3rd/remote past) /ced/
taking a drink	ᎠᏚᎩᏍᎪᎢ	[à:tǔ:gî:sgó:ʔi]  (he is) (alcoholic beverage) (3rd/habitual) /ced/
taking a drink	ᎭᏚᎩ	[hatǔ:gi]  (he is) (alcoholic beverage) (2nd/immediate) /ced/
taking a drink	ᎤᏚᎩᏍᏗ	[u:tǔ:gî:sdi]  (he is) (alcoholic beverage) (3rd/deverbal) /ced/
taking a flexible object somewhere by hand	ᎦᏁᎦ	[gahné:ga]  (he is) (3rd/present continuous) /ced/
taking a flexible object somewhere by hand	ᏥᏁᎦ	[jiʔné:ga]  (he is) (1st/present continuous) /ced/
taking a flexible object somewhere by hand	ᎤᏅᏒᎢ	[ù:hnv́:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
taking a flexible object somewhere by hand	ᎦᏁᎪᎢ	[gahné:gó:ʔi]  (he is) (3rd/habitual) /ced/
taking a flexible object somewhere by hand	ᎯᏄᎦ	[hihnù:ga]  (he is) (2nd/immediate) /ced/
taking a flexible object somewhere by hand	ᎤᏅᏍᏗ	[u:hnv̀:sdi]  (he is) (3rd/deverbal) /ced/
taking a liquid somewhere by hand	ᎦᏅᏤᎦ	[ganhjé:ga]  (he is) (3rd/present continuous) /ced/
taking a liquid somewhere by hand	ᏥᏅᏤᎦ	[jinv̀:jé:ga]  (he is) (1st/present continuous) /ced/
taking a liquid somewhere by hand	ᎤᏅᏨᏒᎢ	[ùnhjv́:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
taking a liquid somewhere by hand	ᎦᏅᏤᎪᎢ	[ganhjé:gó:ʔi]  (he is) (3rd/habitual) /ced/
taking a liquid somewhere by hand	ᎯᏅᏧᎦ	[hinhjù:ga]  (he is) (2nd/immediate) /ced/
taking a liquid somewhere by hand	ᎤᏅᏨᏍᏗ	[unhjv̀:sdi]  (he is) (3rd/deverbal) /ced/
taking a long object out of a container	ᎦᎵᎭ	[galǐ:ha]  (he is) (3rd/present continuous) /ced/
taking a long object out of a container	ᏥᎵᎠ	[jilí:ʔa]  (he is) (1st/present continuous) /ced/
taking a long object out of a container	ᎤᎸᎲᎢ	[ù:lv:hv̌:ʔi]  (he is) (3rd/remote past) /ced/
taking a long object out of a container	ᎦᎵᏍᎪᎢ	[galǐ:sgó:ʔi]  (he is) (3rd/habitual) /ced/
taking a long object out of a container	ᎯᎳ	[hila]  (he is) (2nd/immediate) /ced/
taking a long object out of a container	ᎤᎸᏗ	[uhldi]  (he is) (3rd/deverbal) /ced/
taking a long object somewhere	ᎠᏴᏫᏗᎭ	[à:yv:hwi:díha]  (he is) (3rd/present continuous) /ced/
taking a long object somewhere	ᏥᏴᏫᏗᎭ	[jiyv̀:wi:díha]  (he is) (1st/present continuous) /ced/
taking a long object somewhere	ᎤᏴᏫᏛᎲᎢ	[ù:yv:hwi:dv:hv̌:ʔi]  (he is) (3rd/remote past) /ced/
taking a long object somewhere	ᎠᏴᏫᏗᏍᎪᎢ	[à:yv:hwi:dǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
taking a long object somewhere	ᎯᏴᏫᏓ	[hiyv:hwǐ:da]  (he is) (2nd/immediate) /ced/
taking a long object somewhere	ᎤᏴᏫᏘᏗ	[u:yv:hwi:tdi]  (he is) (3rd/deverbal) /ced/
taking a long object somewhere by hand	ᎦᏁᎦ	[ga:né:ga]  (he is) (3rd/present continuous) /ced/
taking a long object somewhere by hand	ᏥᏁᎦ	[ji:né:ga]  (he is) (1st/present continuous) /ced/
taking a long object somewhere by hand	ᎤᏩᏅᏒᎢ	[ù:wa:nv́:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
taking a long object somewhere by hand	ᎦᏁᎪᎢ	[ga:né:gó:ʔi]  (he is) (3rd/habitual) /ced/
taking a long object somewhere by hand	ᎯᏄᎦ	[hi:nù:ga]  (he is) (2nd/immediate) /ced/
taking a long object somewhere by hand	ᎤᏩᏅᏍᏗ	[uwa:nv̀:sdi]  (he is) (3rd/deverbal) /ced/
taking a seat	ᎠᎵᏍᏛᏡᏍᎦ	[àlsdv:hlúsga]  (he is) (3rd/present continuous) /ced/
taking a seat	ᎦᎵᏍᏛᏡᏍᎦ	[galì:sdv:hlúsga]  (he is) (1st/present continuous) /ced/
taking a seat	ᎤᎵᏍᏛᏡᏅᎢ	[ùlsdv:hlúnv́:ʔi]  (he is) (3rd/remote past) /ced/
taking a seat	ᎠᎵᏍᏛᏡᏍᎪᎢ	[àlsdv:hlúsgóʔi]  (he is) (3rd/habitual) /ced/
taking a seat	ᎭᎵᏍᏛᏡᎦ	[halsdv:hlù:ga]  (he is) (2nd/immediate) /ced/
taking a seat	ᎤᎵᏍᏛᏡᏍᏗ	[ulsdv:hlúsdi]  (he is) (3rd/deverbal) /ced/
taking a step	ᎠᎳᏍᎬᎠ	[à:lâ:sgvʔa]  (he is) (3rd/present continuous) /ced/
taking a step	ᎦᎳᏍᎬᎠ	[galâ:sgvʔa]  (he is) (1st/present continuous) /ced/
taking a step	ᎤᎳᏍᎬᏒᎢ	[ù:lâ:sgv̀:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
taking a step	ᎠᎳᏍᎬᏍᎪᎢ	[à:lâ:sgv̀:sgó:ʔi]  (he is) (3rd/habitual) /ced/
taking a step	ᎭᎳᏍᎬᎾ	[halà:sgv̌:na]  (he is) (2nd/immediate) /ced/
taking a step	ᎤᎳᏍᎬᏍᏗ	[u:là:sgv̀:sdi]  (he is) (3rd/deverbal) /ced/
taking his hat off	ᎠᎵᏍᏇᏚᎩᎠ	[àlsgwé:tuhgí:ʔa]  (he is) (3rd/present continuous) /ced/
taking his hat off	ᎦᎵᏍᏇᏚᎩᎠ	[galì:sgwé:tuhgí:ʔa]  (he is) (1st/present continuous) /ced/
taking his hat off	ᎤᎵᏍᏇᏚᎩᏒᎢ	[ùlsgwé:tuhgí:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
taking his hat off	ᎠᎵᏍᏇᏚᎩᏍᎪᎢ	[àlsgwé:tuhgí:sgó:ʔi]  (he is) (3rd/habitual) /ced/
taking his hat off	ᎭᎵᏍᏇᏚᎩ	[halsgwè:tuhgi]  (he is) (2nd/immediate) /ced/
taking his hat off	ᎤᎵᏍᏇᏚᎩᏍᏗ	[ulsgwè:tuhgì:sdi]  (he is) (3rd/deverbal) /ced/
taking his pants off	ᎠᏑᎴᎠ	[á:su:lé:ʔa]  (he is) (3rd/present continuous) /ced/
taking his pants off	ᎦᏑᎴᎠ	[gá:su:lé:ʔa]  (he is) (1st/present continuous) /ced/
taking his pants off	ᎤᏑᎴᏒᎢ	[ú:su:lé:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
taking his pants off	ᎠᏑᎴᏍᎪᎢ	[á:su:lé:sgó:ʔi]  (he is) (3rd/habitual) /ced/
taking his pants off	ᎭᏑᎳᎩ	[hà:su:lagi]  (he is) (2nd/immediate) /ced/
taking his pants off	ᎤᏑᎴᏍᏗ	[ù:sǔ:lê:sdi]  (he is) (3rd/deverbal) /ced/
taking his ring off	ᎠᎵᏰᏑᏍᏘᎩᎠ	[à:liyê:su:stgí:ʔa]  (he is) (3rd/present continuous) /ced/
